"投開票所編號",場所名稱,投開票所地址,所屬里別,所屬鄰別
159,林口國中,民治路２５號,湖南里,"10-12,32-34"
160,林口國中,民治路２５號,湖南里,13-18
161,林口國中,民治路２５號,湖南里,36-39
162,林口國中,民治路２５號,湖南里,"35,40-43"
163,南勢國小,南勢街２１５號,南勢里,1-7
164,南勢國小,南勢街２１５號,南勢里,8-14
165,南勢國小,南勢街２１５號,南勢里,15-19
166,南勢國小,南勢街２１５號,南勢里,20-25
167,新北特殊教育學校,文化北路一段４２５號,南勢里,26-30
168,新北特殊教育學校,文化北路一段４２５號,南勢里,"31,32,34,35"
169,新北特殊教育學校,文化北路一段４２５號,南勢里,"33,36-40"
170,林口國中,民治路２５號,仁愛里,1-6
171,林口國中,民治路２５號,仁愛里,7-18
172,林口國中,民治路２５號,仁愛里,19-30
173,麗林國小,公園路４６號,麗林里,1-9
174,麗林國小,公園路４６號,麗林里,10-18
175,麗林國小,公園路４６號,麗林里,19-27
176,麗林國小,公園路４６號,麗林里,28-32
177,麗園國小,忠孝路５９１號,東勢里,1-10
178,麗園國小,忠孝路５９１號,東勢里,11-27
179,麗園國小,忠孝路５９１號,東勢里,28-39
180,麗園國小,忠孝路５９１號,麗園里,1-11
181,麗園國小,忠孝路５９１號,麗園里,12-19
182,頂福里集會所,"頂福２０號之１６（祖師公廟
旁）",頂福里,全里
183,興福國小,下福１０之１號,下福里,全里
184,嘉寶國小,嘉溪雅坑２２號,嘉寶里,全里
185,瑞平國小,後坑３４之１號,瑞平里,全里
186,瑞平國小,後坑３４之１號,太平里,全里
187,更寮國小1年1班教室,四維路２號,興珍里,1-15
188,興珍社區活動中心,四維路２號,興珍里,"16,17,30-39"
189,福興宮,中興路一段１５１巷４號,興珍里,"18-29,40"
190,更新市民活動中心,更洲路４５號,更寮里,全里
191,觀音市民活動中心,凌雲路三段１７之２號,觀音里,全里
192,清水灣大樓會議室,成泰路四段２２巷２號１樓,集福里,2-12
193,薪關渡大樓會議室,成泰路四段２４號之１０,集福里,"1,13-16,23-2"
194,集福市民活動中心,孝義路５５巷１０號,集福里,17-22
195,集福社區活動中心,天乙路３號之１,集賢里,1-10
196,集福社區活動中心,天乙路３號之１,集賢里,11-22
197,"成州國小一年一班教
室(B109)",成泰路三段４９３號,成德里,1-12
198,"成州國小一年三班教
室(B107)",成泰路三段４９３號,成德里,13-23
199,"成州國小一年五班教
室(B105)",成泰路三段４９３號,成州里,9-18
200,"成州國小一年七班教
室(B103)",成泰路三段４９３號,成州里,19-25
201,成州市民活動中心,西雲路２６７號,成州里,"1-8,26,27"
202,成功市民活動中心1樓,西雲路１６３號１樓,成功里,1-13
203,"五股區社教大樓1樓廣
場",西雲路１６５號１樓,成功里,14-25
204,成功市民活動中心2樓,西雲路１６３號２樓,成功里,26-34
205,成泰里守望相助隊,御史路１之５號,成泰里,1-11
206,成泰里守望相助隊,御史路１之５號,成泰里,12-21
207,法國宮庭社區大廳,御成路１４０號,成泰里,22-34
208,空屋,民義路二段５２之２２號,五龍里,全里
209,五福里集會所,五福路２２巷２５號之１,五福里,"11-15,18-23"
210,台北愛家大樓會議室,五福路１４巷底,五福里,"1-10,16,17"
211,"撲滿成家大樓中庭會
議室",五福路３５至５７號中庭,六福里,1-12
212,"撲滿成家大樓中庭會
議室",五福路３５至５７號中庭,六福里,13-23
213,五股區文康中心,民義路一段２１８號,民義里,1-13
214,聖天宮廣場,工商路１２９巷１之１號,民義里,14-23
215,"五股國小科任教室
(三)",成泰路二段４９號,五股里,1-13
216,"五股國小英語教室
(三)",成泰路二段４９號,五股里,14-28
217,德音社區活動中心,蓬萊路１號之５,德音里,1-10
218,裕昌宮,成泰路一段２３５號,德音里,11-21
219,空屋,成泰路一段１８９巷９弄３號,德音里,22-30
220,"德音國小團輔教室
(114)",明德路２號,水碓里,1-8
221,"德音國小群組教室
(115)",明德路２號,水碓里,9-18
222,"德音國小英語教室
(116)",明德路２號,水碓里,19-28
223,"德音國小1樓圓樓(健
康中心旁)",明德路２號,水碓里,29-36
224,"德音國小健康中心
(102)",明德路２號,福德里,1-10
225,"德音國小體育器材室
(101)",明德路２號,福德里,11-19
226,聖源地母宮,成泰路一段７巷１４弄１７號,德泰里,"12-14,16-20"
227,台北星洲社區圖書室,成泰路一段３２巷３２號,德泰里,3-8
228,德泰市民活動中心,成泰路一段８巷４號,德泰里,"1,2,9-11,15,
21,22"
229,貿商社區活動中心,貿商里４５６號,貿商里,1-14
230,貿商社區活動中心,貿商里４５６號,貿商里,15-25
231,"陸光新城A社區活動中
心",六合街５６號１樓,陸一里,1-17
232,"陸光新城A社區活動中
心",六合街５８號１樓,陸一里,18-35
233,大科市民活動中心,大科路４２號,大科里,1-13
234,南亞林口廠福利社,南林路１０１號,大科里,14-16
235,黎明市民活動中心,黎明路２３號,黎明里,"3-7,9-11"
236,泰山國中,泰林路二段４９８號,黎明里,"1,2,8,12-17"
237,泰山國中,泰林路二段４９８號,山腳里,1-9
238,泰山國中,泰林路二段４９８號,山腳里,10-19
239,泰山國小,泰林路二段２５５號,山腳里,"20-30,33"
240,泰山國小,泰林路二段２５５號,山腳里,"31,32,34-45"
241,"楓樹福泰市民活動中
心",楓江路２６巷２６號,福泰里,1-12
242,"楓樹福泰市民活動中
心",楓江路２６巷２６號,福泰里,13-25
243,泰山國小,泰林路二段２５５號,福興里,1-15
244,泰山國小,泰林路二段２５５號,福興里,16-25
245,山腳市民活動中心,福德街１４號,楓樹里,1-8
246,泰山國小,泰林路二段２５５號,楓樹里,9-20
247,"楓樹福泰市民活動中
心2樓",楓江路２６巷２６號２樓,楓樹里,21-28
248,泰山高中,辭修路７號,同榮里,1-9
249,泰山高中,辭修路７號,同榮里,10-22
250,同榮國小,公園路３３號,同榮里,23-30
251,泰山高中,辭修路７號,同興里,1-10
252,泰山高中,辭修路７號,同興里,11-24
253,義學國小,民生路３０號,全興里,"1-5,7"
254,義學國小,民生路３０號,全興里,"6,8,9"
255,義學國小,民生路３０號,全興里,"10-15,17"
256,義學國小,民生路３０號,全興里,"16,18-21"
257,義學國小,民生路３０號,全興里,22-25
258,同榮國小,公園路３３號,義學里,"1-3,5"
259,同榮國小,公園路３３號,義學里,"4,6-14"
260,義學市民活動中心,明志路二段１０６號,義學里,15-25
261,義學國中,民生路３３號,義仁里,1-10
262,義學國中,民生路３３號,義仁里,"11-19,22,24,
25"
263,義仁市民活動中心,明志路二段１７７號,義仁里,"20,21,26"
264,義學國中,民生路３３號,義仁里,"23,27-39"
265,明志國小,新生路２號,明志里,1-7
266,明志國小,新生路２號,明志里,8-15
267,明志市民活動中心,明志路二段４２６號,明志里,16-24
268,明志國小,新生路２號,泰友里,1-9
269,明志國小,新生路２號,泰友里,10-18
270,明志國小,新生路２號,新明里,1-13
271,明志國小,新生路２號,新明里,14-25
272,頂泰山巖交誼中心,應化街３２號,貴子里,1-4
273,"明志科技大學（綜合
大樓1樓）",工專路８４號,貴子里,5-15
274,貴子市民活動中心,工專路２２號,貴子里,16-29
275,明志國小,新生路２號,貴賢里,1-15
276,貴賢市民活動中心,明志路三段１９７號,貴賢里,16-27
