"投開票所編號",設置地點,詳細地址,"所轄選舉人里鄰別","所轄原住民 選舉人里鄰別",電話號碼,備註
"187","劍潭國小2年丙班教室","通河街16號","明勝里6-12","明勝里全里","28862471",
"188","劍潭國小6年甲班教室","通河街16號","明勝里13-18","28862471",
"189","慈信宮","重慶北路4段49巷40弄56號","福順里1-5","28121379",
"190","葫蘆幼兒園","延平北路5段136巷1號","福順里6-9,11","福順里全里","28151220",
"191","臺北市立圖書館葫蘆堵分館","延平北路5段136巷1號1樓梯廳","福順里10,12-15","28126513",
"192","海光幼稚園","葫蘆街30巷25號","富光里1-6、8-9","富光里全里","28111994",
"193","海光宮辦公室","葫蘆街87號","富光里7、10-17","28127626",
"194","慈音聖寶宮","延平北路5段163巷39號","富光里18-25","28111557",
"195","葫蘆國小103教室","環河北路3段95號","葫蘆里8-14","28129586",
"196","葫蘆國小104教室","環河北路3段95號","葫蘆里15-19、27","葫蘆里全里","28129586",
"197","葫蘆國小105教室","環河北路3段95號","葫蘆里20-26","28129586",
"198","葫蘆國小126教室","環河北路3段95號","葫蘆里1-7","28129586",
"199","陽信銀行社子分行","延平北路5段260號","葫東里2-3,6-7,12-13","28121112",
"200","葫東區民活動中心","中正路589號","葫東里1,4-5,8-11","葫東里全里","28826200轉6014",
"201","社子里里民活動場所","社中街70號","社子里1-3、6-7","社子里全里","28111133",
"202","社子里里民活動場所對面","社中街53號","社子里12-18","28111133",
"203","社福宮活動中心南側","社中街210巷31號","社子里4-5、8-10","28150700",
"204","社福宮活動中心北側","社中街210巷31號","社子里11、19-23","28150700",
"205","永新區民活動中心","中正路632-1號","社新里1-2、5-6、16、29","28826200轉6014",
"206","共和宮","社子街117號","社新里11-12,17-18,21-22","28124828",
"207","社子國小一年五班教室","延平北路6段308號","社新里3-4、7-10","28129059",
"208","社子國小一年六班教室","延平北路6段308號","社新里13-15、19-20、28","社新里全里","28129059",
"209","社子國小一年七班教室","延平北路6段308號","社新里23-27","28129059",
"210","慈暉幼兒園","永平街46巷3弄9號","社園里3,19-20,23-26","28113589",
"211","社子公園1樓閱覽室","永平街20巷37弄17號","社園里1-2,4-7","28112371",
"212","社子公園松柏健身隊康樂室","永平街20巷37弄10號對面社子公園內","社園里8-9,11,14-16","社園里全里","28117368",
"213","陽信銀行社中分行","社中街220號","社園里10、12-13、17-18、21-22","28151415",
"214","社子國小一年一班教室","延平北路6段308號","永倫里1-6","28129059",
"215","社子國小一年二班教室","延平北路6段308號","永倫里7-11","永倫里全里","28129059",
"216","社子國小一年三班教室","延平北路6段308號","永倫里12-17","28129059",
"217","社子國小一年四班教室","延平北路6段308號","永倫里18-23","28129059",
"218","福安國中九年四班","延平北路7段250號","福安里1-4","28108766轉140",
