編號,設置地點,詳細地址,所轄里鄰別,電話,原住民
0892,友愛托兒所,大豐一路 140 號,"本館里 10-11、19-22
28 鄰",3800593,（1）
0893,湧蓮寺,大豐一路 139 號,"本館里 12、17-18、
25-26、32 鄰",3834142,（1）
0894,湧蓮寺,大豐一路 143 號,"本館里 23、27、29-31
33 鄰",3834142,"（1） 
原住民"
0895,菩提禪寺,大興街 50 號,"本館里 1-2、13-16、24
鄰",3812597,（2）
0896,"莊敬國小學生活動
中心南側",大昌一路 200 號,本和里 1-4、21-23 鄰,3813210-5311,（2）
0897,"莊敬國小學生活動
中心西側(正門)",大昌一路 200 號,本和里 10-16 鄰,3813210-5311,（2）
0898,"莊敬國小學生活動
中心北側",大昌一路 200 號,"本和里 18-20、24-26
鄰",3813210-5311,（2）
0899,"本和里活動中心 1
樓","大和街 190 號(大裕
路 51 巷 51 號對面)",本和里 5-9、17 鄰,3811233,"（1） 
原住民"
0900,"立志中學勤謹樓西
棟汽建一 1 教室","大昌一路 98 號(由
立志街 42號側門出
入)",本文里 1-7 鄰,3922601-236,（1）
0901,"鼎金國小忠孝樓一
樓一年 2 班教室",鼎山街 375 號,本文里 8-17 鄰,3836330,"（2） 
原住民"
0902,"育英醫護管理專科
學校護理科一年一
班教室","大昌二路 420 巷 15
號",本武里全里,3811765,"（1） 
原住民"
0903,"育英醫護管理專科
學校護理科一年三
班教室","大昌二路 420 巷 15
號",本元里 1-8 鄰,3811765,"（1） 
原住民"
0904,"育英醫護管理專科
學校護理科一年四
班教室","大昌二路 420 巷 15
號",本元里 9-13、15-17 鄰,3811765,"（1） 
14 鄰空鄰"
0905,"育英醫護管理專科
學校老服科五年
一、二班教室","大昌二路 420 巷 15
號",本元里 18-25 鄰,3811765,（1）
0906,"東光國小第一棟左
側二年一班教室",黃興路 206 號,本安里 1-4、7-10 鄰,3839350,"（2）原住民 
5、6 鄰空鄰"
0908,"東光國小第一棟左
側二年三班教室",黃興路 206 號,本安里 17-23 鄰,3839350,（2）
0909,"陽明國中後棟大樓
一年一班教室",義華路 166 號,本上里 1-6 鄰,3856103,（2）
0910,"陽明國中後棟大樓
二年二十五班教室",義華路 166 號,本上里 8-14 鄰,3856103,"（2） 
原住民"
0911,"陽明國中後棟大樓
二年二十七班教室",義華路 166 號,本上里 7、17-22 鄰,3856103,"（2） 
15-16 鄰空鄰"
0912,"東光國小第一棟左
側二年四班教室",黃興路 206 號,本揚里 1-6、8 鄰,3839350,（2）
0913,"東光國小第一棟右
側社區圖書館",黃興路 206 號,本揚里 7、9-13 鄰,3839350,（2）
0914,"東光國小第一棟右
側二年五班教室",黃興路 206 號,本揚里 14-20 鄰,3839350,（2）
0915,"東光國小第一棟右
側二年六班教室",黃興路 206 號,本揚里 22-27 鄰,3839350,（2）
0916,"東光國小第一棟右
側二年七班教室",黃興路 206 號,本揚里 21、28-32 鄰,3839350,"（2） 
原住民"
0917,"台灣基督教長老教
會華忠教會禮拜堂",有光路 80 號,寶獅里 1-13 鄰,3843656,"（2） 
原住民"
0918,"台灣基督教長老教
會華忠教會辦公室",有光路 82 號,寶獅里 14-26 鄰,3843656,（2）
0919,"光武國小思源樓一
年七班教室",光武路 35 號,寶德里 1-7、9 鄰,3867458-31,"（2） 
原住民"
0920,"光武國小思源樓一
年八班教室",光武路 35 號,寶德里 8、10-17 鄰,3867458-31,（2）
0921,寶珠溝里活動中心,壽昌路 2 號,寶德里 18-28 鄰,3859911,（2）
0922,"陽明國小二年 3 班
教室",義德路 52 號,寶泰里 1-10 鄰,3851916,"（2） 
原住民"
0923,"陽明國小二年 1 班
教室",義德路 52 號,寶泰里 11、13-21 鄰,3851916,"（2） 
12 鄰空鄰"
0924,"正興國小第一棟左
側二年一班教室",大豐二路 20 號,寶興里 1-7、9 鄰,3845206,（2）
0925,"正興國小第一棟左
側二年二班教室",大豐二路 20 號,"寶興里 10、13-14、21
26、30 鄰",3845206,"（2） 
原住民"
0926,"正興國小第一棟左
側二年三班教室",大豐二路 20 號,"寶興里 8、12、15-20
22-25 鄰",3845206,（2）
0927,"正興國小第一棟左
側二年四班教室",大豐二路 20 號,"寶興里 11、27-29、
31-32 鄰",3845206,（2）
0928,晉天宮,"義永路 54 巷 11 弄
16 號",寶中里 1-3、5-13 鄰,3822438,（2）
0929,義永寺,建興三巷 1 號,寶中里 4、14-20 鄰,3844119,"（1） 
原住民"
0930,"光武國小一年五班
教室",光武路 35 號,寶華里 1-2、4-9 鄰,3867458-31,"（2）原住民 
3 鄰空鄰"
0931,"光武國小一年六班
教室",光武路 35 號,寶華里 10-17 鄰,3867458-31,（2）
0932,"陽明國中第一棟大
樓二年一班教室",義華路 166 號,寶國里 1-4、12 鄰,3856103,（2）
0933,"陽明國中第一棟大
樓二年三班教室",義華路 166 號,寶國里 5-10 鄰,3856103,"（2） 
原住民"
0934,"陽明國中第一棟大
樓二年五班教室",義華路 166 號,寶國里 11、13-18 鄰,3856103,（2）
0935,"陽明國中第一棟大
樓二年六班教室",義華路 166 號,"寶國里 19-21、23-25
鄰",3856103,（2）
0936,"陽明國中第一棟大
樓二年八班教室",義華路 166 號,寶國里 22、26-30 鄰,3856103,（2）
0937,"光武國小一年三班
教室",光武路 35 號,寶民里 1-8 鄰,3867458-31,（2）
0938,"光武國小一年四班
教室",光武路 35 號,寶民里 9-13、15-17 鄰,3867458-31,"（2）原住民 
14 鄰空鄰"
0939,"光武國小一年一班
教室",光武路 35 號,寶慶里 1-4、6-10 鄰,3867458-31,"（2）原住民 
5 鄰空鄰"
0940,"光武國小一年二班
教室",光武路 35 號,寶慶里 11-18 鄰,3867458-31,（2）
0941,"陽明國中第二棟大
樓二年三十班教室",義華路 166 號,寶業里 1-7 鄰,3856103,"（2） 
原住民"
0942,"陽明國中第二棟大
樓二年三十二班教
室",義華路 166 號,寶業里 8-15 鄰,3856103,（2）
0943,"陽明國中第二棟大
樓二年三十三班教
室",義華路 166 號,寶業里 16-24 鄰,3856103,（2）
0944,美佳園幼兒園教室,臥龍路 23 巷 20 號,"寶盛里 1-2、5-8、11
鄰",3846316,"（2） 
原住民"
0945,"寶盛里活動中心
(大順陸橋下)","大順三路 332 號對
面","寶盛里 3-4、9-10、
12-14 鄰",3852351,（1）
0946,克萊能托兒園教室,教仁路 2 號,寶盛里 15-18 鄰,3926238,（2）
0947,"圓山幼兒園 e 化教
室","九如一路 548 巷 59
弄 11 號",寶安里 1-8 鄰,3837166,（2）
0948,寶安里活動中心,覺民路 585 號,寶安里 9-11、20-21 鄰,3891818,（2）
0949,"民族國中第二棟東
側一樓童軍教室
(一)",覺民路 363 號,寶安里 12-16、26 鄰,3818718-31,"（2） 
原住民"
0950,"民族國中第二棟東
側一樓童軍教室
(二)",覺民路 363 號,"寶安里 17-19、22-25
鄰",3818718-31,（2）
0951,"正興國小第一棟圖
書分館",大豐二路 20 號,"寶龍里 1-4、12-14、
20-22 鄰",3845206-731,（1）
0952,"國家公園大亨大樓
交誼廳",正興路 5 號,"寶龍里 5、9、19、23-24
鄰",3800912,"（1） 
原住民"
0953,基督教建興教會,"建德路 204 巷 1-2
號","寶龍里 6-8、10-11、
15-18 鄰","3827473 
3892924",（1）
0954,高雄高工活動中心,建工路 419 號,"寶珠里 2-11、24-25、
33 鄰",3815366-2205,"（1）原住民 
1、34 鄰空鄰"
0955,"寶珠里里民休閒中
心",大昌二路 393 號,"寶珠里 12-14、22-23
26-31 鄰",3813135,（1）
0956,"正興國小第一棟右
側補校教室",大豐二路 20 號,"寶珠里 15-21、32、
35-39 鄰",3845206-731,（1）
0957,陽明國小自然教室,義德路 52 號,寶玉里 1-6 鄰,3851916-736,（2）
0958,陽明國小閱讀教室,義德路 52 號,寶玉里 7-12、29 鄰,3851916-736,（2）
0959,"陽明國小二年 7 班
教室",義德路 52 號,寶玉里 13-17、30 鄰,3851916-736,（2）
0960,"陽明國小二年 6 班
教室",義德路 52 號,寶玉里 18-21 鄰,3851916-736,（2）
0961,"陽明國小二年 5 班
教室",義德路 52 號,寶玉里 22-28 鄰,3851916-736,"（2） 
原住民"
0962,"鼎金國小忠孝樓二
樓二年 1 班教室",鼎山街 375 號,灣子里 2-8、19 鄰,3836330-731,"（2） 
1 鄰空鄰"
0963,"鼎金國小忠孝樓二
樓二年 3 班教室",鼎山街 375 號,灣子里 9-17 鄰,3836330-731,"（2）原住民 
18 鄰空鄰"
0964,"鼎金國小忠孝樓一
樓一年 4 班教室",鼎山街 375 號,"灣愛里 1-2、4、6-17
鄰",3836330,"（2）原住民 
3、5 鄰空鄰"
0965,"鼎金國小忠孝樓一
樓一年 3 班教室",鼎山街 375 號,灣愛里 18-29 鄰,3836330,（2）
0966,"鼎金國中活動中心
一年十二班教室",鼎山街 445 號,灣中里 1-12 鄰,3831029-131,（2）
0967,"鼎金國中活動中心
二年十四班教室",鼎山街 445 號,灣中里 13-21、23 鄰,3831029-131,"（2） 
原住民"
0968,"鼎金國中活動中心
一年十班教室",鼎山街 445 號,灣中里 22、24-26 鄰,3831029-131,（2）
0969,"鼎金國中和平樓三
年一班教室",鼎山街 445 號,灣華里 1-9 鄰,3831029-131,"（2） 
原住民"
0970,"鼎金國中和平樓三
年二班教室",鼎山街 445 號,灣華里 10-16 鄰,3831029-131,（2）
0971,"鼎金國小忠孝樓二
樓二年 4 班教室",鼎山街 375 號,灣勝里 2-9 鄰,3836330-731,"（2）原住民 
1 鄰空鄰"
0972,"鼎金國小忠孝樓二
樓一年 5 班教室",鼎山街 375 號,"灣勝里 10-15、17-20
鄰",3836330-731,"（2） 
16 鄰空鄰"
0973,"立志中學勤謹樓西
棟汽實三 1 教室","大昌一路 98 號(由
立志街 42號側門出
入)","灣利里 1-4、17-24、
29-30 鄰",3922601-236,"（2） 
原住民"
0974,"鼎金國中和平樓三
年三班教室",鼎山街 445 號,"灣利里 5-16、25、27-28
鄰",3831029-131,"（2） 
26 鄰空鄰"
0975,三民區衛生所,鼎山街 660 號 1 樓,"灣復里 1、12、16-20
鄰","3820492 
3822395",（2）
0976,"灣子內朝天宮文化
大樓 1 樓",鼎山街 684 號,"灣復里 2-5、7-11、
13-15 鄰","3828591 
3821734","（2）原住民 
6 鄰空鄰"
0977,"正興國中社區圖書
館",覺民路 850 號,正興里 1-7、9 鄰,3809591,（2）
0978,"正興國中志工團辦
公室",覺民路 850 號,正興里 8、10-16 鄰,3809591,（2）
0979,"正興國中教師會辦
公室",覺民路 850 號,正興里 17-23、28 鄰,3809591,（2）
0980,"正興國中一年 22班
教室",覺民路 850 號,正興里 24-26、29 鄰,3809591,（2）
0981,"正興國中一年 21班
教室",覺民路 850 號,正興里 27、31-33 鄰,3809591,（2）
0982,"正興國中體育器材
室",覺民路 850 號,正興里 30、34-37 鄰,3809591,"（2） 
原住民"
0983,"天主教聖加大利納
堂南側房",建興路 392 號,正順里 1-10 鄰,3827730,（1）
0984,"天主教聖加大利納
堂北側房",建興路 392 號,正順里 11-17 鄰,3827730,"（1） 
原住民"
0985,"法音禪寺(大雄寶
殿一樓外面走廊)",灣興街 33 號,灣興里全里,3827246,"（1）原住民 
5-6、9、15 鄰空
鄰"
0986,"鼎金國小忠孝樓一
樓一年 1 班教室",鼎山街 375 號,灣成里 2-5 鄰,3836330,"（2）原住民 
1、6 鄰空鄰"
0987,"鼎金國中活動中心
一年十一班教室",鼎山街 445 號,灣成里 7-17 鄰,3831029-131,（1）
0988,"安康安寧里民眾活
動中心",永年街 7 之 3 號,安康里 1-15 鄰,"3903220 
0918013763",（2）
0989,"安康安寧里民眾活
動中心",永年街 7 之 4 號,安康里 16-26 鄰,"3903220 
0918013763","（2） 
原住民"
0990,"民族社區老人活動
中心（東側）",九如一路 899 號,安寧里 1-10 鄰,"3893805 
0937775561",（2）
0991,"民族社區老人活動
中心（西側）",九如一路 899 號,安寧里 11-20 鄰,"3893805 
0937775561","（2） 
原住民"
0992,"民族國小側門左側
一年一班教室",平等路 197 號,安吉里 1-6、23-25 鄰,3860526,（2）
0993,"民族國小側門左側
一年二班教室",平等路 197 號,安吉里 7-14 鄰,3860526,"（2） 
原住民"
0994,"民族國小側門左側
一年三班教室",平等路 197 號,安吉里 15-22 鄰,3860526,（2）
0995,"民族國小課後照顧
5 兼補校教室",平等路 197 號,安發里 1、3-8 鄰,3860526,（2）
0996,"民族國小課後照顧
4 兼補校教室",平等路 197 號,安發里 2、9-14 鄰,3860526,"（2） 
原住民"
0997,"民族國小課後照顧
3 教室",平等路 197 號,安發里 15-22 鄰,3860526,（2）
0998,"三民國中三年 1 班
教室",十全一路 200 號,安東里 1-11 鄰,3227751-330,（2）
0999,"三民國中三年 2 班
教室",十全一路 200 號,"安東里 12-13、15-24
鄰",3227751-330,"（2）原住民 
14 鄰空鄰"
1000,"三民公園老人活動
中心",松江街 250 號 1 樓,"安和里 1-6、9-12、
19-20 鄰",3227027,"（2） 
原住民"
1001,高紅北極殿,松江街 411 號,"安和里 7-8、13-15、
17-18、21-22 鄰",3138185,"（1） 
16 鄰空鄰"
1002,"博愛國小愛禮樓閱
讀教室","十全一路 202號（由
吉林街出入）",達德里全里,3110708,"（2）原住民 
2、14 鄰空鄰"
1003,"博愛國小愛智樓一
年四班教室","十全一路 202號（由
吉林街出入）",達明里全里,3110708,"（1）原住民 
2、13 鄰空鄰"
1004,民宅,吉林街 58 號,達仁里全里,3116735,（1）
1005,"博愛國小一年五班
教室","十全一路 202號（由
吉林街出入）",達勇里全里,3110708,"（2）原住民 
7 鄰空鄰"
1006,"愛國國小綜合教室
(一)",十全一路 1 號,同德里 1-9 鄰,3161191-231,（2）
1007,"愛國國小綜合教室
(二)",十全一路 1 號,"同德里 10-17、19-20
鄰",3161191-231,"（2）原住民 
18 鄰空鄰"
1008,德智民眾活動中心,自由一路 52 號,德智里 2-9、11-12 鄰,3136077,"（2） 
1、10 鄰空鄰"
1009,三民網球場休息室,"自由一路與熱河一
街口",德智里 13-23 鄰,3111324,"（2） 
原住民"
1010,愛國國小桌球教室,十全一路 1 號,德仁里全里,3161191-231,"（2）原住民 
10 鄰空鄰"
1011,晉元街 42號旁車庫,晉元街 42號旁車庫,安生里全里,3110835,"（1）原住民 
15、16 鄰空鄰"
1012,"民享里等四里聯合
巡守隊部",熱河二街 104 號,德東里全里,3213679,"（2）原住民 
2、7、13 鄰空鄰"
1013,"基督教台灣信義會
三民教會",重慶街 55 號,德行里全里,3221263,"（2）原住民 
11、15、16 鄰空
鄰"
1014,"台灣基督長老教會
重生教會",哈爾濱街 35 巷 2 號,精華里全里,3125427,"（1）原住民 
1、4-5、7 鄰空鄰"
1015,"十全國小一年 5 班
教室",十全二路 162 號,"民享里 1-3、5、7-13
鄰",3214366,"（1） 
4、6 鄰空鄰"
1016,"十全國小一年 6 班
教室",十全二路 162 號,"民享里 14-22、24-28
鄰",3214366,"（1）原住民 
23 鄰空鄰"
1017,"安宜里活動中心 1
樓北側",自立一路 535 號,安宜里 1-7、9-12 鄰,3229476,"（2） 
8 鄰空鄰"
1018,"安宜里活動中心 1
樓南側",自立一路 535 號,安宜里 13-26 鄰,3229476,"（2）原住民 
27-29 鄰空鄰"
1019,南天宮大廳,綏遠二街 40 號,安泰里 1-12 鄰,3226081,（2）
1020,南天宮西廂房,綏遠二街 40 號,安泰里 13-23 鄰,3226081,（2）
1021,十全國小特輔教室,十全二路 162 號,安泰里 25-32 鄰,3214366,"（1）原住民 
24 鄰空鄰"
1022,"十全國小一年 1 班
教室",十全二路 162 號,安邦里 1-6 鄰,3214366,（1）
1023,"十全國小一年 2 班
教室",十全二路 162 號,安邦里 7-14 鄰,3214366,"（1） 
原住民"
1024,"十全國小一年 3 班
教室",十全二路 162 號,安邦里 16-20 鄰,3214366,"（1） 
15 鄰空鄰"
1025,"十全國小一年 4 班
教室",十全二路 162 號,十全里全里,3214366,"（1） 
原住民"
1026,十全國小母語教室,十全二路 162 號,十美里全里,3214366,"（1）原住民 
4、10 鄰空鄰"
1027,"德北十全十美聯合
里活動中心（南側",通化街 30 巷 86 號,"德北里 1-2、4-8、10
鄰",3212997,"（1）原住民 
3、9 鄰空鄰"
1028,"德北十全十美聯合
里活動中心（北側",通化街 30 巷 86 號,德北里 11-18 鄰,3212997,（1）
1029,"台灣基督長老教會
重生教會",哈爾濱街 35 巷 6 號,立誠里全里,3125427,"（1）原住民 
2、5-11、13、19
鄰空鄰"
1030,民宅,哈爾濱街 1 巷 9 號,立業里全里,"3160645 
0912716590","（1）原住民 
3、8、14-15、17-18
鄰空鄰"
1031,南巡寶殿,河北一路 320 號,港東里全里,2355021,"（2）原住民 
10、18 鄰空鄰"
1032,"台灣聖教會城市新
頌教會",河北一路 170 號,港新里全里,2360061,"（2）原住民 
3、7、12-13、15
鄰空鄰"
1033,"高雄中學活動中心
後側",建國三路 50 號,港西里全里,2861936,"（2）原住民 
2、4-6、10 鄰空
鄰"
1034,"原工務局工程材料
試驗科舊址(民族
陸橋下)","民族一路 8 之 21 號
對面",博愛里全里,3119026,"（1） 
原住民"
1035,"凱旋國小 B 棟午餐
教育室",憲政路 235 號,博惠里 2-13 鄰,2235181,"（2） 
1 鄰空鄰"
1036,"凱旋國小 B 棟幼稚
班午餐教室 2",憲政路 235 號,博惠里 14-24 鄰,2235181,（2）
1037,"凱旋國小 B 棟幼稚
班午餐教室 1",憲政路 235 號,博惠里 25-33 鄰,2235181,"（2） 
原住民"
1038,"基督教拿撒勒人會
高雄教會",長明街 156 號,長明里全里,"2379627 
0956582999","（1）原住民 
2-3、5、9、12
鄰空鄰"
1039,"高雄中學活動中心
前側",建國三路 50 號,建東里全里,2861936,"（2）原住民 
7、12 鄰空鄰"
1040,"三塊厝聯合里活動
中心",三民街 39 之 1 號,興德里全里,2850070,"（2）原住民 
1、7、11 鄰空鄰"
1041,三民國小圖書館,建國三路 216 號,鳳南里全里,2810378,"（2）原住民 
13、15 鄰空鄰"
1042,三民基督長老教會,三德西街 138 號,鳳北里全里,2885054,"（1）原住民 
3、8、18-21、24
25 鄰空鄰"
1043,高雄聖母宮,中道街 43 號,德西里全里,3111946,"（2）原住民 
4、8-9、15 鄰空
鄰"
1044,民宅（左側）,力行路 28 號,"豐裕里 1、3-4、15、
18-20、24-26 鄰","3128598 
0926017203","（1） 
2、14 鄰空鄰"
1045,民宅（右側）,力行路 28 號,"豐裕里 5-13、16-17、
21-23 鄰","3128598 
0926017203","（1） 
原住民"
1046,"中都地區聯合里活
動中心右側",同盟三路 442 號,川東里全里,0930812695,"（2）原住民 
4-5、11、18 鄰空
鄰"
1047,"愛河戀 B 區大樓交
誼廳","力行路 242 至 252
號",裕民里全里,3231403,"（2） 
原住民"
1048,"中都地區聯合里活
動中心左側",同盟三路 442 號,力行里全里,3128598,"（2）原住民 
1 鄰空鄰"
1049,"千歲鳳南千北立德
里活動中心",三民街 222 號,千歲里全里,2158892,"（2）原住民 
3、7、14 鄰空鄰"
1050,"河濱國小課後照顧
班",市中一路 339 號,立德里全里,2211408,"（2）原住民 
2、4、6、10、13
16 鄰空鄰"
1051,"三民國小多元學習
教室",建國三路 216 號,千北里全里,2810378,"（2）原住民 
10-11 鄰空鄰"
1052,"台電公司電力修護
處南部分處行政大
樓",市中一路 407 號,"千秋里 3、5-6、8-12
20-21 鄰",2510195-300,"（2） 
1-2、4、7 鄰空鄰"
1053,"台電公司電力修護
處南部分處新大樓",市中一路 410 號,千秋里 13-19 鄰,2510195-300,"（2） 
原住民"
第 8 選舉區,"",前金區,"","","",""
1054,福德祠,"高雄市前金區八德
二路 116 號",三川里全里,2860255,"（2）原住民 
1-4、10、11、15
鄰空鄰"
1055,"建國國小安親班
（甲）","高雄市前金區自立
二路 111 號",草江里全里,2860128,"（2）原住民 
3、4、7、8、10
13 鄰空鄰"
1056,扶風殿,"高雄市前金區瑞源
路 167 號",長城里全里,2872052,"（2）原住民 
1、11-13、21、
23 鄰空鄰"
1057,"前金區老人活動中
心","高雄市前金區文武
一街 65 號 1 樓",北金里全里,2151115,"（2）原住民 
2、3、7、9、12
鄰空鄰"
1058,東金里活動中心,"高雄市前金區文武
一街 65 號 2 樓",東金里全里,2519394,"（2）原住民 
4、7-9、13 鄰空
鄰"
1059,前金國中健康中心,"高雄市前金區六合
二路 278 號","新生里 1-3、5、6、9
10、12、24、27、28
鄰",2725981,"（2）原住民 
4、8 鄰空鄰"
1060,前金國中圖書室,"高雄市前金區六合
二路 278 號","新生里 7、11、13-23
25、26、29、30 鄰",2725981,（2）
1061,前金國中實驗室,"高雄市前金區六合
二路 278 號",後金里全里,2725981,"（2）原住民 
1-5、7、16 鄰空
鄰"
1062,六合基督長老教會,"高雄市前金區六合
二路 121 號",長興里全里,2866245,"（1）原住民 
4、5、11 鄰空鄰"
1063,"大同國小大同樓 1
樓美勞教室","高雄市新興區大同
一路 231 號",青山里全里,2823039,"（2）原住民 
4、10、15 鄰空
鄰"
1064,"前金國小北邊大同
樓安親班(1)教室","高雄市前金區大同
二路 61 號",民生里全里,2829001,"（2）原住民 
7-9 鄰空鄰"
1065,"前金國小東邊自強
樓安親班教室","高雄市前金區大同
二路 61 號",復元里全里,2829001,"（2）原住民 
2、6 鄰空鄰"
1066,"前金國小南邊民生
樓志工團教室","高雄市前金區大同
二路 61 號",林投里全里,2829001,"（2）原住民 
1、4、7、8、10
11、13、21 鄰空
鄰"
1067,"前金國小北邊大同
樓安親班教室","高雄市前金區大同
二路 61 號",國民里全里,2829001,"（2）原住民 
5、6、10 鄰空鄰"
1068,"高雄女中 1 年 2 組
教室","高雄市前金區五福
三路 122 號",社東里 1-4、6-10 鄰,2115418,"（2）原住民 
5 鄰空鄰"
1069,"高雄女中 1 年 3 組
教室","高雄市前金區五福
三路 122 號","社東里 11、12、14-16
18-21、23 鄰",2115418,"（2） 
13、17、22、24
鄰空鄰"
1070,"高雄女中 1 年 4 組
教室","高雄市前金區五福
三路 122 號",社西里全里,2115418,"（2）原住民 
4、8、10 鄰空鄰"
1071,"高雄女中 1 年 1 組
教室","高雄市前金區五福
三路 122 號",博孝里全里,2115418,"（2）原住民 
4、5、10 鄰空鄰"
1072,高雄市榮民服務處,"高雄市前金區自強
二路 52 號 1 樓",長生里全里,2729534,"（1）原住民 
6、13、14、20
22 鄰空鄰"
1073,前金教會,"高雄市前金區五福
三路 97 號",榮復里全里,2212945,"（2）原住民 
3、4、9、11、14
15、20 鄰空鄰"
1074,"文西里文康休閒中
心","高雄市前金區新田
路 238 號",文西里全里,2612153,"（1）原住民 
1、2、8、14、19
鄰空鄰"
1075,"高雄仁愛之家二月
初六書苑","高雄市前金區中華
四路 356 號",文東里全里,2827676,"（2）原住民 
8、9 鄰空鄰"
第 8 選舉區,"",新興區,"","","",""
1076,"高雄高商莊敬大樓
3 年 2 班教室",五福二路 3 號,浩然里 1-7 鄰,2269975-31,"（2） 
原住民"
1077,"高雄高商莊敬大樓
3 年 7 班教室",五福二路 3 號,浩然里 8-17 鄰,2269975-31,"（2）9-10、18
鄰空鄰"
1078,"新興高中 A101 啟
仁班教室",五福二路 218 號,振成里全里,2727127-31,"（2）原住民 
9、12 鄰空鄰"
1079,"高雄高商中正大樓
2 樓 2 年 8 班教室",五福二路 3 號,"德生里 3、6-8、10、
12-15、19 鄰",2269975-31,"（2）原住民 
1-2、4-5、9、11
鄰空鄰"
1081,浸信會文化堂車庫,文橫二路 146 號,振華里全里,2018251,"（2）原住民 
17 鄰空鄰"
1082,"台灣信義會苓雅教
會禮拜堂",民享街 74 號,正氣里全里,2811291,"（1）原住民 
1、16、20 鄰空
鄰"
1083,聖提摩太堂,忠孝一路 262 號,德政里全里,2517633,"（2）原住民 
2 鄰空鄰，"
1084,"新興國小圖書閱覽
室",民生一路 321 號,仁聲里全里,2412110,"（2）原住民 
2-4 鄰空鄰"
1085,"財稅行政大樓一樓
西側",中正三路 25 號,"德望里 3、6-9、13-15
鄰",2293151,"（2） 
原住民"
1086,"財稅行政大樓一樓
大廳",中正三路 25 號,"德望里 2、4-5、10-12、
16鄰",2293151,（2）1 鄰空鄰
1087,玄光寺,忠孝一路 171 號,華聲里全里,2217886,"（3）原住民 
2-3、5、10、14-15
鄰空鄰"
1088,基督教高雄神召會,大同一路 56 之 1 號,蕉園里全里,2919560,"（2）原住民 
1、6、9 鄰空鄰"
1089,"新興國小特教班機
能訓練室",民生一路 321 號,永寧里全里,2412110,"（2）原住民 
1、3、8、12 鄰
空鄰"
1090,新興高中健康中心,五福二路 218 號,玉衡里全里,2727127-31,"（2）原住民 
6、8-9、11、
17-20、22-24、26
鄰空鄰"
1091,信義國小二年六班,中正三路 32 號,順昌里 1-13 鄰,2365163,（2）12 鄰空鄰
1092,信義國小二年七班,中正三路 32 號,順昌里 14-24 鄰,2365163,"（1） 原住民 
21 鄰空鄰"
1093,信義國小二年三班,中正三路 32 號,文昌里 1-7 鄰,2365163,"（2） 
原住民"
1094,信義國小二年四班,中正三路 32 號,文昌里 8-20 鄰,2365163,（2）
1095,"光耀里老人活動中
心後段（由渤海街
進入）",黃海街 62 號,"光耀里 1-2、10-12、
17、20-25 鄰",2263462,"（2） 
原住民"
1096,"光耀里老人活動中
心前段（由黃海街
進入）",黃海街 62 號,"光耀里 3-7、9、14-16
18 鄰",2263462,"（2）8、13、19
鄰空鄰"
1098,信義國小二年二班,中正三路 32 號,"興昌里 14-15、17-18
20-23 鄰",2365163,"（2）13、16、19
鄰空鄰"
1099,"七賢國小課後照顧
班",七賢一路 393 號,開平里 1-9 鄰,2351150,（2）
1100,"七賢國小本土語言
專科教室",七賢一路 393 號,開平里 10-23 鄰,2351150,"（2）原住民 
19、22 鄰空鄰"
1101,"高雄市基督教浸信
會",中正三路 102 號,成功里全里,2377234,"（2）原住民 
10 鄰空鄰"
1102,慈安宮,南華橫二路 126 號,新江里全里,2352582,"（1）原住民 
4、14-15 鄰空鄰"
1103,"高雄基督徒七賢路
禮拜堂",七賢一路 467 號,黎明里全里,2351622,"（2） 
原住民"
1104,"法蒂瑪聖母堂停車
場",南華路 85 號,愛平里全里,2351753,"（1）原住民 
3-4、14 鄰空鄰"
1105,"南港里守望相助巡
守隊部","忠孝一路 417 號車
庫","南港里 1、3-4、7-14
鄰",2352267,"（1） 
2、5-6 鄰空鄰"
1106,忠孝老人活動中心,忠孝一路 417 號,"南港里 15-23、25-26
鄰",2352267,"（2）原住民 
24 鄰空鄰，"
1107,"七賢國小 4 年 4 班
教室",七賢一路 393 號,中東里 1-2、4-16 鄰,2351150,"（2） 
3、5 鄰空鄰"
1108,"七賢國小 6 年 5 班
教室",七賢一路 393 號,中東里 17-28 鄰,2351150,"（2） 
原住民"
1109,祖師廟,中山橫路 68 號,明莊里全里,2871295,"（3）原住民 
1、3-5、9、14-15
17 鄰空鄰"
1110,仁和宮,自立橫路 26 號,大明里全里,2216804,"（1）原住民 
6、9-10 鄰空鄰"
1111,"台灣基督長老教會
高雄市新興教會",明星街 5 號,秋山里全里,2866790,"（2）原住民 
2、4、6-7、11
14、16-17 鄰空鄰"
1112,建國國小健康中心,自立二路 111 號,長驛里全里,2860128-31,"（2）原住民 
2-3、5、8、12
鄰空鄰"
1113,"建國國小退休人員
聯誼室",自立二路 111 號,建興里全里,2860128-31,"（2）原住民 
1-2、5-7、12 鄰
空鄰"
1114,聖光神學院,河南二路 2 號,建華里全里,9537333-187,"（2）原住民 
4、6-7、14 鄰空
鄰"
1115,高南北極殿,"林森一路 123 巷 30
號",漢民里全里,2719071,"（3）原住民 
2、7-8、13-15 鄰
空鄰"
1116,"大同國小大同樓 
感覺統合教室",大同一路 231 號,榮治里全里,2823039,"（2） 
原住民"
1117,民宅,"林森一路 161 巷 28
號",東坡里全里,2727330,"（2）原住民 
6、9、10、18-19
21-22、24-25 鄰
空鄰"
第 8 選舉區,"",苓雅區,"","","",""
