編號,場所名稱,投(開)票所地址,所屬里別,所屬鄰別
0127,新營國小,新營區大宏里１３鄰中正路４號,大宏里,11-20
0128,新營國小,新營區大宏里１３鄰中正路４號,大宏里,21-31
0129,新營高工,新營區王公里１４鄰中正路６８號,王公里,"1-9,15-18"
0130,新營高工,新營區王公里１４鄰中正路６８號,王公里,"10-13,19-23,30"
0131,新營高工,新營區王公里１４鄰中正路６８號,王公里,"14,24-29,31-342-7,12,"
0132,新東國中,新營區新東里２３鄰民治東路３０號,新東里,"14,17-18,23-24"
0133,新東國中,新營區新東里２３鄰民治東路３０號,新東里,"13,19,25-281,8-11,"
0134,新泰國小,新營區新東里１５鄰東學路７７號,新東里,"15-16,20-22"
0135,公誠國小,新營區興業里４鄰公誠街５號,中營里,全里
0136,土庫社區活動中心,新營區土庫里５鄰土庫４８號,土庫里,全里
0137,私立南光高級中學,新營區興安里４鄰中興路６２號,興安里,"全里1-7,9-10"
0138,真武殿,新營區南興里１鄰延平路１１２號,南興里,",19-22,24-26,328,11-18,"
0139,台糖生產技術服務處,新營區南興里２７鄰建業路４３號,南興里,"23,27-31,33"
0140,公誠國小,新營區興業里４鄰公誠街５號,興業里,全里
0141,南新國中,新營區民生里４鄰民治路６５號,民生里,"1-10,15,21,23-2611-14,"
0142,新民國小,新營區民生里１８鄰公園路１段１３６號,民生里,"16-20,22,27-30"
0143,南新國中,新營區民生里４鄰民治路６５號,新北里,1-13
0144,南新國中,新營區民生里4鄰民治路65號,新北里,14-24
0145,南新國中,新營區民生里４鄰民治路６５號,新北里,25-33
0146,新民國小,新營區民生里１８鄰公園路１段１３６號,新南里,1-13
0147,新民國小,新營區民生里１８鄰公園路１段１３６號,新南里,14-23
0148,新民國小,新營區民生里１８鄰公園路１段１３６號,新南里,24-30
0149,親親帅兒園(弘星學苑)妙法禪寺入口,新營區民榮里１２鄰興農街６８號,民榮里,"1-2,4-13,25"
0150,(佛教文物流通處服務台),新營區民榮里１４鄰復興路１６１巷４２號,民榮里,"3,14-15,17-24"
0151,三聖宮,新營區民榮里２６鄰復興路３０５巷２１-１號,民榮里,"16,26-39"
0152,埤寮許丑民眾活動中心,新營區埤寮里５鄰埤寮１２－１號,埤寮里,全里
0153,護鎮社區活動中心,新營區護鎮里７鄰建國路３０２號,護鎮里,全里
0154,新興國小,新營區太南里１９鄰３１６號,太南里,全里
0155,新營文康活動中心（1樓）,新營區太北里６鄰４５－８號,太北里,全里
0156,南梓國小,新營區南紙里２２鄰建業路１９１號,南紙里,"2-5,8-19,27"
0157,南梓國小,新營區南紙里２２鄰南紙里２２鄰建業路１９１號,南紙里,"1,6-7,20-26"
0158,嘉芳里大將公廟,新營區嘉芳里１鄰茄苳腳１號,嘉芳里,全里
0159,舊里活動中心,新營區舊里4鄰舊廊２７號,舊里,全里
0160,角帶里活動中心,新營區角帶里５鄰６５號,角帶里,全里
0161,鐵線社區活動中心,新營區鐵線里１１鄰１２１－１號,鐵線里,全里
0162,五興社區活動中心,新營區五興里１０鄰１１４－１號,五興里,全里
0163,新生國小,新營區姑爺里６鄰５２號,姑爺里,全里
0164,士林里活動中心,柳營區士林里博愛街１８號,士林里,"1-3,6-11,16-17"
0165,柳營國小禮堂,柳營區士林里柳營路１段７５５號,士林里,"4-5,12-15,18-21"
0166,柳營國小東側教室,柳營區士林里柳營路１段７５５號,光福里,"1-12,14-15,24-25,29"
0167,光福里活動中心,柳營區光福里柳營路２段２３８號,光福里,"13,16-23,26-28"
0168,中埕里活動中心,柳營區中埕里柳營３６０號,中埕里,全里
0169,柳營聯合活動中心,柳營區東昇里７鄰中山西路２段１９巷３５號,東昇里,"1-14,21-22"
0170,柳營代天院香客大樓,柳營區東昇里中山西路１段３６２號,東昇里,"15-20,23-29"
0171,八翁里集會所(重興宮西側),柳營區八翁里８鄰八老爺７０－１號,八翁里,全里
0172,人和里活動中心,柳營區人和里柳營路３段４２０巷１弄２號,人和里,7-20
0173,火燒店代天宮,柳營區人和里界和路７７巷２６號,人和里,1-6
0174,太康國小,柳營區太康里太康４之１號,太康里,"1-8,19,21-22"
0175,太康里活動中心,柳營區太康里１１３號,太康里,"9-18,20"
0176,明聖殿(1樓會議室),柳營區重溪里小腳腿１２３號,重溪里,5-17
0177,重溪水利工作站,柳營區重溪里２鄰小腳腿１３號,重溪里,"1-4,21-22"
0178,五軍營法主宮,柳營區重溪里五軍營２３之１號,重溪里,18-20
0179,小腳腿多功能活動中心北側,柳營區篤農里６鄰小腳腿２２６之１號,篤農里,1-10
0180,小腳腿多功能活動中心南側,柳營區篤農里６鄰小腳腿２２６之１號,篤農里,11-19
0181,大農里活動中心,柳營區大農里義士路１段４５０號,大農里,全里
0182,神農里活動中心,柳營區神農里６鄰果毅後２８４之５號,神農里,1-14
0183,新厝活動中心,柳營區神農里新厝１８之１號,神農里,15-18
0184,果毅里活動中心,柳營區果毅里果毅後６１號,果毅里,1-17
0185,慈玄宮,柳營區果毅里南湖之５之１１號,果毅里,18-19
0186,新吉庄活動中心,柳營區旭山里２鄰新吉庄１６－３０號,旭山里,"1-7,11-15"
0187,山子腳活動中心,柳營區旭山里山子腳９－１號,旭山里,16-21
0188,尖山鎮安宮,柳營區旭山里尖山,旭山里,8-10
0189,北門農民教育活動中心,北門區永隆里３鄰北門４５號,北門里,1-12
0190,北門國小,北門區北門里１４鄰舊埕３號,北門里,13-22
0191,永隆里活動中心,北門區永隆里５鄰北門６０之１號,永隆里,全里
0192,財團法人台灣外展教育發展基金會,北門區永華里５鄰井仔脚５３之１號,永華里,全里
0193,北門國小玉湖分校,北門區玉港里４鄰灰磘港３９之３號,玉港里,1-13
0194,西埔內高興館社區活動中心,北門區玉港里２３鄰西埔內８２號,玉港里,14-23
0195,蚵寮國小(特教班教室),北門區鯤江里２鄰蚵寮７９１號,保吉里,1-13
0196,蚵寮國小(知動教室),北門區鯤江里２鄰蚵寮７９１號,保吉里,14-25
0197,蚵寮國小(健康中心),北門區鯤江里２鄰蚵寮７９１號,東壁里,全里
0198,蚵寮國小(禮堂),北門區鯤江里２鄰蚵寮７９１號,鯤江里,1-8
0199,新圍中山堂,北門區鯤江里９鄰新圍１８之２號,鯤江里,9-14
