鄉（鎮、市）別,"投（開）票所編號",投（開）票所地點,投（開）票所地點,劃定前往投票之村里鄰別,備註
金峰鄉,201,賓茂村辦公處,賓茂村辦公處,賓茂村1鄰至5鄰,
金峰鄉,202,歷坵分校教室,歷坵分校教室,歷坵村1鄰至5鄰,
達仁鄉,203,達仁鄉立圖書館,達仁鄉立圖書館,安朔村9鄰至13鄰,
達仁鄉,204,安朔國小,安朔國小,安朔村1鄰至8鄰,
達仁鄉,205,南田社區活動中心,南田社區活動中心,南田村1鄰至4鄰,
達仁鄉,206,森永社區活動中心,森永社區活動中心,森永村1鄰至9鄰,
達仁鄉,207,新化社區活動中心,新化社區活動中心,新化村1鄰至6鄰,
達仁鄉,208,台坂社區活動中心,台坂社區活動中心,台坂村1鄰至10鄰,
達仁鄉,209,土坂社區活動中心,土坂社區活動中心,土坂村1鄰至14鄰,
蘭嶼鄉,210,蘭嶼高級中學禮堂,蘭嶼高級中學禮堂,椰油村1鄰至7鄰,
蘭嶼鄉,211,紅頭社區發展協會,紅頭社區發展協會,紅頭村1鄰至11鄰,
蘭嶼鄉,212,東清國小視聽教室,東清國小視聽教室,東清村1鄰至13鄰,
蘭嶼鄉,213,朗島國小視聽教室,朗島國小視聽教室,朗島村1鄰至7鄰,
